Time(ms),X,Y,Z
119242,112.49,-336.73,974.24
119345,-15.32,-952.45,738.77
119448,-499.02,-1272.03,35.40
119551,-430.97,1156.68,371.52
119654,265.93,1250.06,-713.44
119756,-35.64,866.82,-510.80
119859,-66.35,-708.13,357.18
119962,33.69,-450.87,85.45
120066,5.00,464.23,-143.80
120169,-21.97,51.03,-133.36
120272,86.43,83.13,68.97
120374,234.25,296.45,-112.49
120477,64.58,242.43,-64.27
120580,-82.64,225.52,-8.73
120683,-274.41,441.35,78.31
120786,23.74,32.84,-6.23
120890,-114.87,-92.53,68.42
120993,-330.32,12.82,102.42
121096,-175.84,-154.48,65.12
121199,52.43,-116.15,23.07
121301,135.38,196.04,-85.69
121404,125.12,-336.49,158.94
121506,-373.96,-387.63,205.32
121609,-73.73,-22.83,-348.33
121711,716.31,294.68,178.77
121814,15.38,174.19,568.48
121917,328.61,250.55,-172.12
122020,-414.31,-449.04,330.69
122123,-0.55,-94.06,-102.42
122226,186.04,354.98,566.65
122329,444.58,424.07,-110.11
122432,401.25,-59.88,474.61
122535,-439.15,-403.93,134.22
122638,-426.57,419.98,312.81
122741,431.52,386.72,-432.43
122844,624.08,-150.45,552.86
122947,-544.56,-216.80,246.83
123051,-376.77,595.34,448.49
