Timestamp,X,Y,Z
2025-03-04 17:27:43,2.44,0.67,-0.73
2025-03-04 17:27:43,6.35,4.58,1.53
2025-03-04 17:27:43,0.79,0.12,1.28
2025-03-04 17:27:44,-6.53,-5.13,-0.43
2025-03-04 17:27:45,1.77,-0.92,-0.24
2025-03-04 17:27:45,2.93,0.92,0.79
2025-03-04 17:27:45,5.8,4.52,0.67
2025-03-04 17:27:46,3.54,0.67,0.18
2025-03-04 17:27:46,4.03,0.79,0.24
2025-03-04 17:27:47,5.0,2.01,-0.24
2025-03-04 17:27:47,6.1,2.69,1.04
2025-03-04 17:27:47,2.75,1.71,1.46
2025-03-04 17:27:48,0.43,-0.55,-0.12
2025-03-04 17:27:48,-2.5,0.06,0.37
2025-03-04 17:27:49,3.48,1.16,-0.12
2025-03-04 17:27:49,-0.79,2.01,4.64
2025-03-04 17:27:50,7.08,6.16,8.54
2025-03-04 17:27:50,0.73,1.71,9.95
2025-03-04 17:27:50,2.81,-0.18,7.57
2025-03-04 17:27:51,5.19,-1.28,6.04
2025-03-04 17:27:51,2.2,2.01,2.81
2025-03-04 17:27:51,-9.77,3.11,4.52
2025-03-04 17:27:52,-0.85,8.61,-0.67
2025-03-04 17:27:52,-2.87,2.38,1.77
2025-03-04 17:27:53,-4.21,0.06,-0.12
2025-03-04 17:27:53,-1.04,-0.43,1.77
2025-03-04 17:27:54,-6.35,-3.91,-0.18
2025-03-04 17:27:54,0.92,0.18,2.14
2025-03-04 17:27:55,0.31,-0.85,1.65
2025-03-04 17:27:55,-1.1,-1.53,-0.18
2025-03-04 17:27:56,0.37,-0.18,2.08
2025-03-04 17:27:56,0.43,-1.04,1.22
2025-03-04 17:27:57,0.31,0.31,0.43
2025-03-04 17:27:57,-0.18,-1.16,-1.4
2025-03-04 17:27:58,0.92,0.92,0.73
2025-03-04 17:27:58,-0.98,-1.59,-0.18
2025-03-04 17:27:58,-3.11,-3.05,3.17
2025-03-04 17:27:59,3.72,-0.79,0.79
2025-03-04 17:27:59,-2.38,-0.24,-0.31
2025-03-04 17:27:59,1.4,0.92,0.31
2025-03-04 17:28:00,0.12,-0.06,0.31
2025-03-04 17:28:00,-2.5,-2.5,-2.38
2025-03-04 17:28:01,5.07,1.34,-0.18
2025-03-04 17:28:01,2.01,0.67,0.31
2025-03-04 17:28:02,-0.24,-0.12,0.43
2025-03-04 17:28:02,2.14,0.0,0.37
2025-03-04 17:28:03,1.34,0.18,0.49
2025-03-04 17:28:03,5.0,2.69,5.68
2025-03-04 17:28:04,2.93,-1.65,0.85
2025-03-04 17:28:04,0.79,-0.92,-0.49
2025-03-04 17:28:04,-0.92,-3.17,-1.22
2025-03-04 17:28:05,0.49,-2.38,0.24
2025-03-04 17:28:05,2.26,-0.18,0.79
2025-03-04 17:28:06,1.77,-0.31,1.53
2025-03-04 17:28:06,0.49,0.18,-0.73
2025-03-04 17:28:07,1.22,-1.04,0.73
2025-03-04 17:28:07,-0.24,-0.24,1.1
2025-03-04 17:28:07,0.18,-1.22,0.55
2025-03-04 17:28:08,0.73,0.98,1.22
2025-03-04 17:28:08,0.0,-1.59,0.92
2025-03-04 17:28:09,0.06,-1.16,0.24
2025-03-04 17:28:09,1.46,1.16,1.04
2025-03-04 17:28:10,2.44,0.73,0.12
2025-03-04 17:28:10,0.98,-1.59,0.24
2025-03-04 17:28:11,-1.71,-0.12,1.34
2025-03-04 17:28:11,0.85,-0.67,-0.24
2025-03-04 17:28:11,-2.26,-1.53,-0.24
2025-03-04 17:28:12,2.56,-0.06,0.24
2025-03-04 17:28:12,3.36,0.98,0.24
2025-03-04 17:28:13,-4.7,-2.14,0.24
2025-03-04 17:28:13,-0.06,0.18,-0.24
